sis_id,Q1,Q1F
18024893,0.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0 (Series are incompatible) "
21025871,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21021179,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21031179,1.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 0 (Series are incompatible) "
21031789,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21031916,0.0,No subsmission
21031876,1.75,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21031902,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21032143,0.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0 (Series are incompatible) "
21019292,1.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21031615,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21059244,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21058783,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21062579,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21058337,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21059393,0.0,Q1: 0 (code error)
21060791,0.0,Q1: 0 (code error)
21061797,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21062529,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21056345,0.0,Q1: 0 (code error)
21063938,0.0,Q1: 0 (code error)
21060840,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21061615,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21061898,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21031241,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21062872,0.0,Q1: 0 (code error)
21065300,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
20068140,0.0,Q1: 0 (code error)
21064725,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21066861,1.8,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b:0.80 (incorrect variable name)"
21032279,0.0,Q1: 0 (code error)
21064090,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21061496,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21060841,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21065622,1.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21064082,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21065287,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21069773,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21066459,0.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0 (Series are incompatible) "
21070585,1.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21065332,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21031681,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21056410,0.0,Q1: 0 (code error)
21031782,0.0,Q1: 0 (code error)
21073209,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21072747,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21073421,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21063203,0.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0.00
Q1b: 0.00"
